x1,x2,k
31.95,7.95,277
31.15,7.3,277
30.45,6.65,277
29.7,6,277
28.9,5.55,277
28.05,5,277
27.2,4.55,277
26.35,4.15,277
25.4,3.85,277
24.6,3.6,277
23.6,3.3,277
22.75,3.15,277
21.85,3.05,277
20.9,3,277
20,2.9,277
19.1,3,277
18.2,3.2,277
17.3,3.25,277
16.55,3.5,277
15.7,3.7,176
14.85,4.1,176
14.15,4.4,176
13.4,4.75,176
12.7,5.2,176
12.05,5.65,176
11.45,6.15,176
10.9,6.65,176
10.3,7.25,176
9.7,7.85,176
9.35,8.35,176
8.9,9.05,176
8.55,9.65,176
8.15,10.35,176
7.95,10.95,176
7.75,11.7,176
7.55,12.35,176
7.45,13,176
7.35,13.75,176
7.3,14.35,176
7.35,14.95,176
7.35,15.75,176
7.55,16.35,176
7.7,16.95,176
7.8,17.55,176
8.05,18.15,176
8.3,18.75,176
8.65,19.3,176
8.9,19.85,176
9.3,20.3,176
9.65,20.8,176
10.2,21.25,176
10.6,21.65,176
11.1,22.15,176
11.55,22.45,70
11.95,22.7,70
12.55,23,70
13.05,23.2,70
13.45,23.4,70
14,23.55,70
14.55,23.6,70
15.1,23.75,70
15.7,23.75,70
16.15,23.85,70
16.7,23.8,70
17.15,23.75,70
17.75,23.75,70
18.2,23.6,70
18.65,23.5,70
19.1,23.35,70
19.6,23.15,70
20,22.95,70
20.4,22.7,70
20.7,22.55,70
21,22.15,70
21.45,21.95,70
21.75,21.55,70
22,21.25,70
22.25,21,70
22.5,20.7,70
22.65,20.35,70
22.75,20.05,70
22.9,19.65,70
23,19.35,70
23.1,19,70
23.15,18.65,70
23.2,18.25,70
23.2,18.05,277
23.2,17.8,277
23.1,17.45,277
23.05,17.15,277
22.9,16.9,277
22.85,16.6,277
22.7,16.4,277
22.6,16.2,277
22.55,16.05,277
22.4,15.95,277
22.35,15.8,277
22.2,15.65,277
22.15,15.55,277
22,15.4,277
21.9,15.3,277
21.85,15.25,277
21.75,15.15,277
21.65,15.05,277
21.55,15,277
21.5,14.9,277
19.35,31.65,70
20.35,31.45,70
21.35,31.1,70
22.25,30.9,70
23.2,30.45,70
23.95,30.05,70
24.9,29.65,70
25.6,29.05,70
26.35,28.5,70
27.15,27.9,70
27.75,27.35,70
28.3,26.6,70
28.95,25.85,70
29.5,25.15,70
29.95,24.45,70
30.4,23.7,70
30.6,22.9,70
30.9,22.1,70
31.25,21.3,277
31.35,20.55,277
31.5,19.7,277
31.55,18.9,277
31.65,18.15,277
31.6,17.35,277
31.45,16.55,277
31.3,15.8,277
31.15,15.05,277
30.9,14.35,277
30.6,13.65,277
30.3,13,277
29.9,12.3,277
29.5,11.75,277
29,11.15,277
28.5,10.6,277
28,10.1,277
27.55,9.65,277
26.9,9.1,277
26.25,8.8,277
25.7,8.4,277
25.15,8.05,277
24.5,7.75,277
23.9,7.65,277
23.15,7.4,277
22.5,7.3,277
21.9,7.1,277
21.25,7.05,277
20.5,7,277
19.9,6.95,277
19.25,7.05,277
18.75,7.1,277
18.05,7.25,277
17.5,7.35,277
16.9,7.6,176
16.35,7.8,176
15.8,8.05,176
15.4,8.35,176
14.9,8.7,176
14.45,8.9,176
13.95,9.3,176
13.6,9.65,176
13.25,10.1,176
12.95,10.55,176
12.65,10.9,176
12.35,11.4,176
12.2,11.75,176
11.95,12.2,176
11.8,12.65,176
11.75,13.05,176
11.55,13.6,176
11.55,14,176
11.55,14.35,176
11.55,14.7,176
11.6,15.25,176
11.65,15.7,176
11.8,16.05,176
11.85,16.5,176
12,16.75,176
12.15,17.2,176
12.3,17.6,176
12.55,17.85,176
12.8,18.05,176
13.1,18.4,176
13.3,18.6,176
13.55,18.85,176
13.8,19.05,176
14.15,19.25,176
14.45,19.5,176
14.85,19.55,70
15,19.7,70
15.25,19.7,70
15.55,19.85,70
15.95,19.9,70
16.2,19.9,70
16.55,19.9,70
16.85,19.9,70
17.2,19.9,70
17.4,19.8,70
17.65,19.75,70
17.8,19.7,70
18,19.6,70
18.2,19.55,70
3.9,9.6,176
3.55,10.65,176
3.35,11.4,176
3.1,12.35,176
3.1,13.25,176
3.05,14.15,176
3,15.1,176
3.1,16,176
3.2,16.85,176
3.45,17.75,176
3.7,18.7,176
3.95,19.55,176
4.35,20.25,176
4.7,21.1,176
5.15,21.8,176
5.6,22.5,176
6.2,23.3,176
6.8,23.85,176
7.35,24.45,176
8.05,24.95,176
8.8,25.45,70
9.5,26,70
10.2,26.35,70
10.9,26.75,70
11.7,27,70
12.45,27.25,70
13.3,27.6,70
14.05,27.6,70
14.7,27.75,70
15.55,27.75,70
16.4,27.75,70
17.1,27.75,70
17.9,27.75,70
18.55,27.7,70
19.35,27.6,70
20.1,27.35,70
20.7,27.1,70
21.45,26.8,70
22.05,26.5,70
22.7,26.15,70
23.35,25.65,70
23.8,25.3,70
24.3,24.85,70
24.75,24.35,70
25.25,23.95,70
25.65,23.45,70
26.05,23,70
26.2,22.3,70
26.6,21.8,70
26.75,21.25,70
27,20.7,70
27.15,20.15,70
27.15,19.6,277
27.35,19.1,277
27.35,18.45,277
27.4,18,277
27.3,17.4,277
27.15,16.9,277
27,16.4,277
27,15.9,277
26.75,15.35,277
26.55,14.85,277
26.3,14.45,277
25.95,14.1,277
25.75,13.7,277
25.35,13.3,277
25.05,12.95,277
24.8,12.7,277
24.4,12.45,277
24.05,12.2,277
23.55,11.85,277
23.2,11.65,277
22.75,11.4,277
22.3,11.3,277
21.9,11.1,277
21.45,11.05,277
21.1,11,277
20.7,10.95,277
20.35,10.95,277
19.95,11,277
19.55,11,277
19.15,11.05,277
18.85,11.1,277
18.45,11.25,277
18.15,11.35,277
17.85,11.5,277
17.5,11.7,176
17.2,11.95,176
17,12.05,176
16.75,12.2,176
16.65,12.35,176
16.5,12.5,176
16.35,12.7,176
16.2,12.8,176
16.15,12.95,176
16,13.1,176
15.95,13.25,176
15.9,13.4,176
15.8,13.5,176
15.8,13.65,176
15.75,13.85,176
15.65,14.05,176
15.65,14.25,176
15.65,14.5,176
15.65,14.6,176
